date,spent,recevied
2023-04-22,251.37,4725.96
2016-11-12,966.07,2503.87
2016-09-09,718.6,1717.93
2024-10-20,66.6,4940.2
2016-02-04,,1417.34
2019-08-20,3187.81,454.72
2016-12-07,925.09,2304.74
2020-09-08,2151.36,556.26
2018-07-26,3687.74,834.3
2021-04-13,2280.98,2368.4
2023-10-11,1827.49,156.71
2018-01-10,776.34,3922.21
2016-07-21,1814.78,179.59
2021-05-26,2070.36,4038.32
2022-12-15,3340.67,1044.36
2016-07-16,,4791.5
2019-05-02,819.03,955.78
2023-05-01,1516.81,3703.84
2024-11-12,,4908.39
2022-06-22,148.29,1399.65
2016-09-25,2461.39,4487.55
2019-05-15,,3876.76
2022-01-15,1375.3,4796.81
2019-04-13,2729.97,4884.08
2019-06-14,2319.08,108.99
2023-08-19,510.56,976.38
2018-04-18,924.7,1259.36
2018-09-24,1911.74,2814.22
2018-08-22,281.17,818.04
2023-04-20,,3686.02
2017-12-06,2155.84,2918.27
2021-08-13,1731.73,2298.56
2020-04-26,1566.59,4392.6
2020-12-08,,383.04
2022-10-21,140.67,1147.95
2022-02-05,1113.15,1721.45
2018-11-16,607.65,3116.31
2024-05-21,1518.63,3941.78
2023-01-07,3790.25,1976.33
2023-10-11,,1711.32
2016-06-20,1690.97,3004.99
2024-07-26,3476.11,
2016-06-23,3005.55,3019.99
2023-04-02,126.14,4852.79
2016-01-07,1893.6,
2018-06-11,1352.28,3205.03
2022-11-29,,3103.32
2023-08-06,1837.34,2544.66
2017-07-24,3038.73,1753.65
2020-02-15,,1014.08
2016-04-20,2497.12,1462.72
2021-05-09,2604.8,4392.7
2023-10-23,2028.18,2488.66
2020-02-21,2408.0,4022.99
2024-06-09,2607.73,984.05
2024-02-27,2435.79,4560.62
2018-11-25,706.39,2698.95
2023-07-25,3962.52,3598.2
2018-11-24,1270.65,4380.9
2017-05-23,412.39,3020.29
2019-12-18,3638.25,209.25
2023-11-06,715.4,2881.61
2019-07-26,3504.93,109.49
2023-06-17,1104.47,4785.71
2022-12-15,2969.1,922.66
2024-06-03,1244.79,3458.22
2017-09-07,3098.82,3187.23
2020-01-16,1620.59,1516.91
2018-02-22,3972.64,517.31
2017-06-16,111.75,4763.43
2022-07-01,,4258.88
2018-08-23,1275.98,1975.95
2022-09-12,1223.1,3522.15
2018-12-11,,935.03
2020-06-01,1019.09,2639.07
2016-02-27,2480.37,296.37
2021-10-06,3181.24,2326.36
2018-06-18,1793.35,2428.38
2022-11-19,2067.19,477.44
2018-09-06,2724.23,3553.74
2022-09-23,76.59,3744.99
2020-06-02,1527.53,1903.75
2021-08-28,2789.19,
2017-10-11,2973.34,761.02
2019-12-05,2518.08,2936.13
2016-04-07,1524.38,566.69
2018-04-11,3544.27,
2016-05-15,1307.49,1789.34
2024-09-17,108.31,711.13
2023-01-03,2578.01,4728.75
2024-02-14,3949.56,2340.12
2019-06-16,2470.72,2031.95
2017-02-10,3417.37,3679.94
2017-02-27,3549.13,3354.15
2021-02-17,2018.77,387.31
2019-04-23,2950.81,818.29
2019-04-27,2718.48,1370.42
2020-07-06,,1758.68
2019-02-08,1625.88,2193.96
2016-06-21,2390.55,3253.17
2021-01-14,,4369.38
2021-01-31,3505.17,2407.49
2024-10-26,3393.11,3688.65
2017-10-16,560.07,1233.16
2022-04-29,3918.9,1389.56
2021-01-02,927.73,937.59
2023-10-20,1976.54,1993.12
2024-04-22,1729.07,4094.39
2019-03-24,,4456.6
2022-01-08,2925.71,3449.73
2019-04-13,1886.82,1235.05
2017-01-06,3888.79,1995.0
2022-05-31,3251.36,4570.85
2021-04-14,,4498.12
2016-12-31,2815.06,3877.35
2024-03-27,3828.77,497.88
2019-04-02,3156.88,4395.08
2022-02-16,1096.48,4961.13
2020-11-20,616.78,4204.09
2017-09-07,1874.7,4043.13
2016-05-24,1666.83,4495.61
2017-08-02,3957.7,2324.88
2016-12-15,3559.2,4413.16
2021-07-11,3799.76,1003.14
2017-06-16,2223.27,4859.54
2024-10-06,,2729.96
2022-07-10,,55.1
2024-04-10,2458.28,1235.46
2019-05-23,2749.35,1447.71
2020-06-19,3682.29,1768.82
2020-07-28,1038.11,3956.79
2022-04-10,,3214.85
2019-05-06,,457.83
2018-06-13,2187.3,315.59
2018-05-24,118.24,1597.25
2018-10-29,2100.86,2794.53
2019-07-14,1360.76,2001.04
2016-12-01,161.61,1425.21
2022-01-09,439.75,3144.99
2023-06-26,1195.51,1995.92
2017-07-10,2164.31,2464.75
2024-01-03,369.77,448.49
2021-03-18,3708.19,
2023-08-24,3518.49,1427.04
2019-09-10,1235.52,3280.26
2022-02-20,,780.43
2023-10-22,2699.99,
2020-09-28,2695.52,3951.89
2021-08-08,1859.39,4684.5
2016-04-21,1299.21,4451.66
2024-11-08,939.84,4601.6
2019-05-15,2357.25,4074.94
2017-05-10,1789.84,945.49
2024-09-29,1672.27,1002.91
2024-06-05,2492.56,2067.89
2022-06-08,988.9,4659.74
2017-07-10,1651.23,569.25
2023-05-24,3692.94,4075.51
2023-10-07,3659.45,4055.36
2019-12-26,924.32,3486.37
2021-02-13,1899.23,3274.84
2018-12-17,3343.35,3028.26
2024-03-09,3196.74,3201.05
2022-04-08,,3603.65
2016-03-21,336.03,3302.38
2019-12-29,2728.24,221.24
2023-01-01,2252.45,3391.02
2019-04-08,1869.79,928.2
2019-11-22,2665.54,1385.31
2020-01-14,970.5,4999.16
2020-11-19,486.41,3745.34
2021-06-08,2363.56,3171.21
2022-06-14,839.42,4506.96
2017-11-02,,2048.64
2021-05-17,3613.12,3562.28
2022-01-29,779.74,1937.8
2020-04-15,913.87,748.73
2017-11-26,372.49,2090.79
2016-07-13,1900.73,3209.07
2022-01-30,639.9,4303.1
2023-06-21,2760.69,494.61
2019-04-03,3481.65,
2024-01-28,886.37,565.87
2018-02-24,1853.65,4370.28
2019-04-10,3198.1,2097.91
2022-04-03,3608.12,977.71
2017-04-22,3494.64,715.89
2019-01-25,2945.82,3279.77
2017-10-06,3959.54,
2020-07-16,1463.14,1996.5
2018-02-22,276.93,1062.65
2021-03-02,3212.43,1665.19
2022-12-17,2990.93,452.6
2019-06-04,218.75,649.55
2018-12-14,3737.74,1298.22
2023-01-03,,1704.7
2016-12-11,3224.61,4185.04
2024-02-25,2298.34,220.7
2024-06-19,483.16,2974.36
2020-08-02,1833.41,845.17
2022-04-24,68.25,3950.48
2020-05-17,1187.54,596.34
2017-09-30,1427.98,1614.34
2016-06-10,,1324.29
2017-02-26,2625.39,1741.23
2016-11-28,1963.07,1553.85
2024-05-27,841.24,2230.3
2022-06-27,730.27,2184.71
2023-07-17,2663.83,1240.6
2024-09-27,2849.06,2017.37
2019-08-30,3679.52,100.45
2024-04-10,2958.88,1543.54
2020-11-20,1557.39,3854.29
2020-06-03,576.1,236.72
2022-02-06,401.68,4117.52
2016-01-29,3049.28,3719.52
2023-11-07,2206.43,3487.68
2023-02-13,53.1,3340.09
2023-04-13,3430.64,3196.14
2021-04-14,2608.68,2454.62
2021-04-26,1416.27,3565.02
2018-10-04,,1188.2
2020-03-24,,1479.44
2019-04-24,3640.99,1558.07
2023-09-14,3164.02,490.82
2016-11-12,2323.65,232.75
2023-05-08,1137.43,3111.39
2017-11-18,,2936.06
2022-06-06,,2103.11
2019-11-13,1844.6,1737.54
2021-08-24,117.07,2327.9
2017-02-25,2700.96,862.52
2016-11-18,1008.25,1824.63
2017-09-17,1374.2,96.8
2021-02-25,1403.5,1737.31
2019-02-11,2618.88,1809.55
2019-12-30,2098.88,2849.99
2022-11-19,358.16,530.43
2016-06-18,,448.87
2019-04-08,95.86,4044.71
2024-07-05,2605.4,3903.56
2024-01-12,3974.5,494.2
2020-09-19,,4206.04
2016-03-09,1626.98,4326.41
2017-02-24,1577.11,3082.29
2024-02-02,441.88,246.06
2016-05-30,2919.95,485.4
2021-11-26,942.64,
2024-08-27,,3720.66
2021-07-23,1054.95,2341.81
2021-08-04,3085.61,2078.5
2022-02-26,1481.81,1014.51
2019-09-23,300.59,2179.06
2019-09-12,1586.36,4170.65
2021-09-09,3014.78,3347.21
2017-12-29,3725.24,2318.5
2017-02-04,3057.65,2890.12
2016-01-06,1405.26,1290.89
2016-12-15,1490.05,2340.16
2017-08-15,,3797.42
2016-07-17,2833.73,399.39
2022-05-31,1593.78,79.5
2023-05-03,3763.49,1277.35
2017-07-29,,3960.21
2019-01-16,3471.48,4804.37
2024-06-30,648.65,3029.04
2017-01-18,967.33,1179.59
2022-01-04,1847.65,3895.44
2021-01-25,3457.81,4323.67
2020-04-23,1042.83,2043.7
2020-01-05,3956.74,1349.96
2022-12-06,3793.27,2065.52
2019-10-21,3399.07,3189.01
2024-12-01,49.3,1932.55
2020-07-27,1696.28,
2018-07-28,1465.02,1867.21
2016-02-04,,3737.38
2019-11-08,2781.62,2224.55
2017-03-27,969.19,1319.17
2019-03-19,1272.37,3381.66
2022-03-22,2412.68,492.31
2018-01-10,714.98,2742.56
2018-09-20,3026.87,
2018-12-16,,1221.91
2023-01-16,2257.18,4870.06
2024-02-20,2364.66,1271.93
2022-11-05,2743.89,1746.21
2017-04-29,1588.93,1388.52
2022-01-12,2823.99,612.8
2019-01-24,2417.83,1220.28
2018-10-30,,4431.4
2022-07-31,3955.02,889.09
2020-10-12,3383.03,3096.89
2019-06-29,2069.78,324.25
2023-04-10,1037.47,3137.54
2019-07-09,2172.06,1491.26
2020-08-13,3013.97,880.28
2024-09-22,2203.34,4345.49
2023-02-19,3158.89,4158.18
2018-06-16,1794.38,192.71
2020-06-20,972.13,3981.98
2023-12-04,2799.22,338.11
2022-05-03,825.56,1974.38
2019-08-26,3528.34,3507.19
2021-11-25,3006.14,4770.63
2017-11-07,2311.02,258.29
2019-11-23,166.16,1081.94
2023-11-11,1854.76,2803.12
2019-08-14,1406.79,3007.86
2024-09-27,,4114.82
2018-12-22,3537.85,1690.35
2022-12-08,3364.54,1463.86
2024-01-25,636.63,3403.97
2022-03-23,3956.78,497.81
2023-05-15,1605.11,1912.09
2019-03-21,653.4,
2020-07-12,2408.34,477.44
2023-03-11,3498.8,2483.66
2019-10-05,1744.99,1768.2
2016-06-04,2770.45,3138.48
2023-11-01,2250.46,717.73
2017-12-10,2148.43,3434.87
2024-04-20,2456.59,281.66
2021-02-08,2083.79,262.86
2018-07-23,,2802.45
2020-03-22,430.56,3103.36
2016-10-23,188.61,838.01
2023-12-29,855.96,4011.78
2023-07-26,3781.78,1316.05
2024-04-11,2141.62,3075.98
2022-02-28,3956.06,303.51
2016-08-13,3700.48,3756.73
2023-02-19,,
2018-01-04,,4842.75
2022-11-25,3444.7,3030.71
2024-08-09,391.31,2266.55
2022-01-04,2026.39,232.21
2021-12-12,2216.28,4895.49
2023-02-27,,4489.03
2017-03-03,3207.71,3148.35
2021-12-14,2963.6,3975.97
2023-12-03,3876.63,
2024-10-11,855.27,1392.97
2022-11-11,1745.22,3556.79
2022-08-31,,1803.02
2023-10-27,2866.67,3413.83
2020-07-15,1126.65,344.88
2023-08-26,332.17,1676.8
2020-04-15,3499.6,2094.05
2016-01-05,3609.89,2414.45
2020-02-15,427.73,2003.61
2022-05-07,2553.28,1929.37
2021-02-10,3785.04,1429.71
2022-02-12,1606.0,3117.91
2020-07-04,3704.85,1915.73
2019-08-09,3509.6,4200.53
2021-01-11,1450.6,243.15
2023-06-12,1315.37,3836.44
2016-06-05,1104.01,3453.74
2020-03-24,1367.66,1657.85
2022-02-10,885.37,3853.45
2018-08-13,1656.57,
2021-12-31,63.59,1257.95
2021-08-10,3518.3,4709.39
2018-02-19,,976.28
2019-09-19,2852.73,726.78
2018-06-30,,2364.49
2019-05-28,2776.16,1920.53
2019-08-11,1541.48,1274.26
2018-06-10,562.46,348.44
2022-05-27,2289.66,722.86
2017-09-07,931.48,2746.84
2023-05-26,2677.13,1385.28
2020-07-11,2858.17,3056.0
2017-06-01,2224.48,
2021-09-05,248.84,3143.9
2021-08-29,2539.09,3346.74
2020-12-24,2401.73,4334.12
2020-09-09,1851.14,2403.03
2023-10-24,,2097.52
2024-03-24,860.74,55.06
2024-06-01,,4898.13
2022-11-21,1836.76,201.4
2023-05-17,1315.64,2854.35
2017-08-20,298.39,1637.96
2016-04-02,1681.63,4724.97
2020-05-09,488.11,3252.7
2023-06-29,804.13,1050.2
2016-04-28,1793.58,3931.27
2019-01-27,838.85,4929.63
2022-05-31,1782.13,4042.69
2017-04-02,3379.38,2845.79
2024-06-26,1308.61,1927.52
2024-02-24,679.72,4608.85
2017-08-30,,531.13
2023-03-03,3011.4,3521.29
2020-03-29,3918.67,
2020-02-16,234.01,3958.74
2021-12-07,2572.64,2480.89
2024-05-09,2544.93,613.63
2024-06-17,3943.98,1088.36
2019-11-17,2888.39,4364.04
2016-02-23,2722.43,326.25
2016-08-30,2827.54,780.62
2018-04-23,109.73,3676.97
2023-08-24,69.27,
2020-02-20,275.83,2206.44
2019-11-09,1884.63,2859.46
2019-09-22,2952.37,3032.25
2024-01-31,92.93,1874.67
2017-01-06,1719.52,3481.3
2016-07-28,3515.7,4635.13
2020-01-25,3736.84,72.19
2023-01-10,533.66,1912.2
2017-03-02,,2402.79
2023-06-24,3404.87,2090.96
2019-07-09,1586.34,1404.54
2017-05-29,1356.52,151.58
2020-11-27,3054.41,59.3
2021-03-21,3344.74,392.56
2018-08-15,3439.13,821.82
2023-10-24,800.45,4245.63
2022-08-06,1642.86,4333.58
2016-11-22,3482.72,646.92
2024-08-20,487.2,4778.73
2020-07-19,3864.18,2491.32
2022-02-15,1694.1,4380.83
2018-05-01,2988.11,1696.27
2019-10-21,2586.78,444.54
2021-06-30,74.3,215.23
2021-11-01,2440.9,1968.34
2016-10-10,3594.32,177.46
2018-07-23,2826.05,3101.29
2019-03-21,1015.64,806.2
2022-12-31,1088.2,4654.06
2018-05-03,3515.74,
2016-12-04,118.09,2332.8
2022-02-04,2395.4,2470.03
2024-11-11,2588.29,1238.28
2016-04-30,2682.38,2980.61
2023-08-13,2357.64,2133.65
2019-12-18,,4415.42
2015-12-11,3210.31,3185.85
2019-06-24,3503.57,4832.74
2022-06-09,3739.91,3467.05
2018-11-29,923.96,
2016-01-14,2273.11,3028.08
2021-03-14,3577.23,2366.49
2024-07-17,,
2023-05-30,928.64,4334.97
2018-05-04,2538.76,795.32
2024-08-08,1800.03,
2021-04-19,3356.68,110.19
2017-07-19,1046.22,937.04
2016-11-10,1233.35,2027.73
2018-09-06,2295.35,4551.7
2021-09-24,2990.53,89.0
2019-01-14,,934.26
2020-08-23,3907.25,853.57
2017-08-31,,1662.61
2017-01-14,3255.19,
2018-12-18,2506.04,4298.42
2020-05-24,297.27,2290.39
2017-01-29,,947.93
2023-06-20,1199.72,2635.02
2020-02-25,3435.79,4420.58
2019-01-15,1677.68,4819.49
2023-12-02,2395.95,1890.55
2024-04-01,1939.98,2278.72
2024-01-25,3023.16,1358.79
2019-10-02,2036.43,1889.32
2020-11-11,3328.31,188.84
2023-01-10,580.81,4221.89
2019-09-03,,1062.63
2024-11-01,3554.18,4766.15
2024-02-14,3931.41,219.22
2021-03-21,3161.64,3978.12
2024-01-24,902.75,1387.59
2022-12-02,1530.05,2212.18
2019-08-25,3500.53,4449.38
2022-02-25,,
2023-03-26,163.04,464.83
2018-10-15,3257.28,1917.59
2020-05-06,3517.61,4763.63
2017-08-17,,4429.18
2019-07-19,2787.36,4517.06
2023-08-06,912.39,272.92
2017-07-29,3058.17,3853.24
2020-07-15,1035.14,1744.73
2021-08-09,611.62,4575.53
2020-06-14,3876.95,3587.11
2023-08-16,1760.15,2669.75
2020-09-12,,3270.55
2024-04-14,1880.04,737.36
2021-02-01,3246.37,2800.6
2018-12-30,3063.75,4827.63
2016-09-19,2827.96,2591.15
2019-08-13,3836.25,3687.22
2018-05-26,436.33,891.66
2021-02-25,,
2017-04-28,3565.61,969.67
2017-11-05,3065.88,986.49
2022-07-13,,2877.92
2017-03-19,3742.15,4733.88
2017-03-18,2642.18,3877.24
2020-05-16,1579.18,1675.66
2017-07-17,3145.79,1970.87
2021-08-19,,4321.98
2023-10-17,2967.79,2297.6
2018-12-01,1508.11,3563.65
2022-02-20,3468.48,1143.59
2016-07-25,,1377.29
2024-09-05,1171.71,3443.22
2018-09-23,388.08,1549.66
2017-12-11,3804.9,
2020-05-31,,2536.84
2023-12-16,84.52,3330.41
2024-05-23,1781.23,4934.51
2021-11-07,1244.55,1171.64
2016-06-23,2963.65,3385.67
2019-09-04,1138.76,294.42
2023-06-17,1799.39,3608.28
2021-07-08,3842.35,686.11
2023-11-20,645.32,1927.92
2024-07-30,,4268.37
2023-08-08,624.79,3018.33
2023-03-12,3694.97,4976.89
2024-07-25,1333.76,613.27
2017-11-01,2385.67,1218.08
2016-09-20,472.62,3308.79
2020-02-15,,4098.82
2022-11-08,750.92,716.04
2024-05-08,2113.02,4666.82
2019-01-25,3735.69,1460.14
2019-03-24,870.17,4755.82
2016-11-16,1530.67,3333.31
2023-04-13,2949.26,2633.14
2024-10-29,2338.14,2634.72
2021-04-17,51.88,4483.12
2018-12-31,197.98,1193.5
2020-10-18,,1433.24
2016-10-25,911.01,3971.37
2024-11-22,3273.52,429.99
2022-05-25,3391.88,2507.78
2017-03-21,2912.01,
2023-02-22,1408.13,1638.31
2017-12-25,2929.82,3423.23
2020-09-05,3189.89,2002.08
2020-08-12,3871.91,3798.7
2020-12-12,2865.26,3025.38
2017-10-12,1374.5,2908.15
2016-02-13,3073.45,1315.59
2017-04-03,399.79,3879.61
2018-11-29,2771.51,1729.91
2021-09-11,,4806.42
2021-08-09,2847.16,3214.7
2024-02-16,2318.9,3617.15
2019-02-13,2445.95,1892.8
2023-02-07,221.32,2299.98
2020-06-26,130.64,2315.57
2021-01-23,3905.28,1605.82
2019-05-13,3028.73,363.64
2019-12-01,,128.11
2018-08-24,3316.37,4178.01
2021-02-02,88.58,3791.92
2017-09-05,3010.15,2684.19
2021-05-08,426.12,1541.32
2020-07-08,689.69,3338.72
2022-09-27,856.95,3621.95
2021-07-23,1821.79,982.99
2020-11-26,1664.26,3470.49
2020-02-29,1802.58,2272.22
2023-01-25,39.41,3596.83
2016-11-22,1355.32,1528.05
2019-03-23,2868.06,3349.27
2019-12-20,2115.23,2592.26
2021-09-07,902.61,107.77
2021-05-22,2691.75,2582.54
2019-06-01,2424.01,807.21
2024-05-16,3014.26,430.6
2023-10-29,2355.43,3027.81
2020-07-10,314.76,4797.38
2016-06-18,,3002.32
2016-04-05,2320.1,508.74
2018-02-28,98.08,1617.29
2019-04-13,489.9,3532.69
2024-08-23,932.33,4241.73
2024-06-21,131.72,913.07
2017-06-29,62.68,150.57
2021-05-30,3773.9,2429.24
2017-11-24,1340.77,4373.45
2023-06-04,771.07,1773.14
2018-01-18,3512.24,285.18
2023-09-25,2225.17,4812.76
2018-03-13,610.74,453.42
2020-10-28,3336.17,2218.68
2021-07-18,110.05,924.06
2022-10-20,2654.02,4655.78
2023-05-14,441.23,1435.86
2023-03-04,2374.96,2552.11
2023-09-27,2931.91,3947.75
2018-06-12,2633.19,
2024-07-03,478.11,
2021-05-11,2675.52,837.66
2024-02-16,3545.47,2869.7
2019-05-01,286.21,2080.23
2023-11-12,3814.61,4607.78
2023-07-01,,4748.27
2022-06-11,1504.57,2060.03
2019-05-05,3502.45,4858.31
2019-02-01,,2144.49
2022-09-06,3240.89,469.68
2022-01-26,3126.82,4786.12
2016-12-04,,3206.16
2023-09-28,3480.87,2594.72
2022-05-27,3447.75,2430.52
2022-01-16,1697.48,1276.22
2017-01-22,1515.39,544.13
2020-03-10,3255.81,2931.85
2023-05-04,3924.85,392.38
2024-08-29,340.2,2953.04
2020-09-20,214.44,
2021-05-13,3788.48,1673.87
2017-02-21,1467.25,2095.35
2022-07-09,2208.62,167.38
2017-06-16,686.38,512.01
2023-03-18,1719.75,2930.39
2018-08-23,1016.47,3860.92
2018-02-18,1036.91,2714.93
2016-09-22,1394.31,2173.37
2019-10-04,2665.1,4808.09
2018-01-10,1035.76,193.03
2023-02-05,3897.06,1068.7
2016-12-30,340.19,4046.67
2018-03-21,,1976.36
2016-11-22,152.52,4104.39
2016-12-05,3774.36,2434.64
2019-01-24,1699.44,387.64
2019-04-18,2071.1,2207.24
2022-06-17,3093.86,4008.91
2018-01-21,97.81,4353.18
2018-12-20,112.1,3597.62
2020-01-10,2742.04,2592.14
2023-08-27,34.77,3462.57
2021-08-18,1076.74,
2018-08-02,2843.57,3652.5
2024-10-24,3864.47,4866.78
2018-03-13,1340.62,4897.38
2020-12-27,1382.99,272.33
2021-11-19,3468.92,4699.52
2016-09-15,3468.59,3919.24
2022-01-22,3896.7,4459.92
2024-03-10,,3024.74
2019-10-11,2677.01,2319.8
2020-10-06,408.11,3658.87
2024-11-15,899.77,636.81
2017-05-20,515.36,2981.84
2022-01-16,,434.43
2023-12-05,2818.14,1801.71
2018-12-01,3212.0,2178.52
2022-01-03,,3994.49
2019-05-04,,2430.52
2016-03-04,2719.51,993.16
2023-07-27,37.11,2706.61
2020-05-25,,2597.12
2018-04-23,,2035.59
2017-09-07,3329.86,
2018-04-20,3409.16,3712.64
2016-07-14,1473.86,1499.13
2019-12-23,1949.65,1965.42
2024-10-30,,3666.68
2024-03-04,3213.86,1429.12
2021-08-16,2813.07,123.79
2022-08-31,3359.26,4427.18
2019-02-03,,942.19
2024-03-30,3011.34,2071.11
2021-10-14,917.58,2663.38
2016-08-27,3810.38,1748.91
2018-05-12,3849.05,919.37
2019-05-25,,1671.36
2024-09-19,2114.8,3625.86
2018-03-07,2855.51,1526.57
2024-11-17,3052.62,1029.25
2018-12-14,2334.46,4677.35
2023-08-26,,1398.5
2017-03-12,,
2020-11-23,3917.37,2504.38
2016-03-20,919.3,3377.74
2016-12-28,1437.39,2516.27
2016-02-21,1718.28,100.62
2022-03-22,2451.29,765.65
2024-09-06,1778.14,1205.72
2023-10-31,3968.56,1800.08
2020-12-12,,269.19
2020-03-04,3842.72,2159.69
2023-08-10,891.92,
2016-04-06,3499.0,3014.54
2017-01-15,2545.22,4743.19
2021-10-16,,1697.89
2021-08-06,1734.58,2640.65
2020-06-09,,1293.0
2020-07-01,2872.1,1518.66
2022-02-25,126.5,3418.83
2021-08-11,2927.69,4782.7
2019-01-27,478.81,3642.64
2024-11-25,2112.67,1868.48
2024-01-12,1125.43,512.24
2024-08-15,2774.63,2255.03
2021-07-22,2467.69,4089.61
2016-05-21,3246.98,4736.91
2020-07-12,2688.72,3447.63
2016-02-27,,
2016-09-11,2561.23,4330.34
2024-11-04,1463.82,2664.68
2019-09-26,2109.44,4686.99
2016-04-06,3484.18,1590.42
2018-12-30,3824.25,2266.76
2022-12-06,2522.17,
2017-10-29,1164.46,2849.81
2020-05-06,3095.0,3523.03
2016-02-21,3826.03,1566.84
2022-02-22,,3768.2
2020-04-08,,3143.93
2019-08-07,3703.47,601.04
2018-03-02,2244.21,65.66
2017-02-16,1760.34,4270.03
2019-04-16,168.98,2727.44
2017-02-13,1206.04,2770.38
2020-07-10,3123.67,
2021-12-06,1068.63,4057.57
2016-10-15,1942.57,2398.14
2024-01-16,522.91,64.6
2017-10-13,3944.8,3887.11
2019-08-12,,2332.49
2023-08-06,1443.59,2663.02
2019-09-13,1349.37,4428.35
2016-07-11,1219.82,1977.64
2017-11-26,151.12,2920.93
2022-05-01,839.98,2771.19
2019-08-09,3556.6,3489.54
2020-08-02,3808.75,3503.45
2017-06-21,3753.87,310.51
2017-05-15,1210.09,1018.34
2016-05-05,2807.88,2013.33
2017-02-08,233.44,3284.47
2021-05-14,3597.42,3072.68
2019-05-13,,493.99
2017-12-15,3388.87,4824.98
2017-08-11,1301.15,3549.34
2018-10-07,860.74,2382.14
2016-05-10,1143.41,688.45
2020-10-07,3349.49,2860.62
2018-08-17,3823.1,
2020-10-07,3565.49,3149.27
2019-01-14,2641.62,3737.24
2017-06-27,3442.48,1472.22
2023-09-14,3557.42,2708.88
2024-10-28,1513.4,3465.68
2016-01-27,2708.69,4425.43
2018-04-22,1022.33,1802.81
2021-11-14,1070.1,1381.31
2017-10-06,3117.1,3600.03
2023-05-01,2611.54,3352.32
2016-05-20,1332.87,3381.04
2024-02-23,3071.64,
2016-09-25,583.89,567.65
2023-03-18,2852.14,701.29
2023-11-05,3715.07,4549.2
2023-12-18,2953.38,2294.33
2022-10-08,,3480.64
2023-04-12,1406.51,2184.13
2019-05-09,2404.06,4532.82
2017-06-29,1812.83,
2024-11-15,532.26,4304.8
2020-01-04,2560.45,4353.63
2022-10-16,1085.54,3454.67
2023-11-15,1895.55,3973.48
2022-01-22,2418.54,3818.99
2016-03-10,1640.21,4238.3
2024-05-22,1251.4,1421.11
2022-08-21,,2837.43
2022-01-29,3559.0,3423.8
2023-10-22,1264.7,162.55
2018-11-27,3996.32,1407.62
2020-04-29,3899.2,2293.17
2022-10-14,1096.35,1836.17
2017-05-05,676.61,447.72
2016-12-13,,3656.81
2016-08-06,2706.84,1206.05
2021-08-30,675.91,2577.97
2018-07-14,1511.3,
2020-09-30,3826.1,2437.58
2022-04-13,,4911.52
2024-11-02,1688.85,2045.95
2023-11-12,534.38,1540.4
