timeStamp,Temperature,humidity,Location
2024-08-28,37.5,17.25,Staraya Ladoga
2022-12-20,45.63,46.86,Ya’erya
2022-11-13,50.31,28.77,Envira
2023-02-28,56.23,,Qila Saifullāh
2022-03-23,9.55,,Kuwait City
2023-03-13,17.41,47.99,Shiye
2022-09-27,12.84,21.33,Pará de Minas
2024-01-30,48.91,26.31,Donostia-San Sebastian
2023-04-11,52.48,98.13,Quimbaya
2022-12-25,48.71,27.68,Ozubulu
2022-07-29,26.85,13.84,Atibaia
2023-02-13,,,Torzhok
2023-05-31,36.81,60.25,Ikongo
2023-06-26,25.3,85.31,San Jose
2023-02-17,12.28,,Santa Clara
2022-04-18,47.96,,San Andres
2024-04-01,41.13,51.84,Žihle
2023-01-18,45.03,55.96,Antopal’
2024-02-19,49.76,,Mlangali
2023-07-27,19.8,17.96,Balagon
2024-02-08,20.49,12.12,Noormarkku
2023-12-04,6.85,,Jiandou
2023-01-23,47.39,87.65,Pucacaca
2022-10-29,22.26,40.18,El Carmen
2023-06-13,25.44,62.47,Penedono
2024-04-28,2.26,22.18,Chacapalpa
2023-12-13,7.73,53.34,Motrico
2024-08-29,40.04,90.84,Ventspils
2022-06-13,45.58,57.77,Papágou
2022-10-22,0.04,2.94,Aileu
2023-10-04,46.2,38.35,Perpignan
2023-01-04,29.17,41.94,Sutton
2024-08-05,7.47,49.93,Mādabā
2024-08-18,52.92,98.55,Gaphatshwe
2022-10-02,44.1,43.5,Trostyanets’
2023-02-12,57.46,21.62,Oslo
2022-07-25,47.03,33.59,Angers
2024-04-02,58.26,34.72,Angoulême
2024-02-17,24.05,62.26,Årjäng
2022-06-10,10.75,99.64,Kaminokawa
2022-11-22,25.37,61.15,Västerås
2023-08-03,3.84,94.29,Liquan Chengguanzhen
2023-07-15,13.18,,Parabcan
2023-02-12,20.01,80.53,Soritor
2023-12-19,38.33,59.16,Casma
2024-04-09,,96.18,Beopwon
2024-08-02,8.53,94.71,Maubara
2024-01-06,9.18,8.16,Cihambali
2024-07-01,24.8,,Tilburg
2023-12-29,24.38,94.26,Jambubol
2024-11-04,7.77,31.36,Breda
2022-08-12,54.14,68.22,Cirompang
2024-07-27,28.9,36.76,Mosoc Llacta
2023-03-10,,15.43,Santa Lucía
2022-05-23,40.63,8.76,Krajan
2023-10-09,38.68,30.15,Mora
2023-03-11,4.84,73.41,Medan
2023-10-03,10.57,96.74,Lipnica
2024-10-26,45.32,62.95,Ostuncalco
2022-12-14,0.41,69.41,Santa Maria
2023-07-19,1.14,59.5,Puricay
2023-11-08,24.74,8.11,Sungsang
2023-03-30,49.39,71.95,Sanxi
2022-05-19,48.8,27.3,Pathum Ratchawongsa
2023-08-04,29.58,,Águia Branca
2022-09-02,23.96,31.3,Darkton
2023-06-30,51.62,76.6,Santa Rita
2024-08-26,37.09,18.52,Calebasses
2024-01-29,26.23,48.51,Tân Phú
2024-11-25,49.54,82.43,Mvuma
2024-07-01,3.4,,Kolumbug
2023-02-19,0.12,60.53,San Esteban
2022-12-31,43.89,45.47,Kosonsoy
2024-05-27,46.83,99.38,El Ksour
2022-03-08,20.33,31.7,Łużna
2023-02-14,55.54,26.66,Milove
2024-09-19,29.09,17.97,Montes
2022-09-10,36.73,49.86,Františkovy Lázně
2022-07-26,14.65,,Gadžin Han
2022-09-01,23.62,85.76,Choca do Mar
2024-04-05,33.41,15.52,Adani
2023-09-16,48.03,45.8,Maniowy
2022-11-18,4.75,13.21,Si That
2022-10-31,27.88,4.75,Škofljica
2023-06-07,27.95,7.36,Licun
2022-03-15,40.38,27.87,Ar Ruḩaybah
2024-01-06,6.42,28.09,Raymond
2023-11-16,0.53,71.66,Columbus
2022-08-25,2.35,57.19,Sidzina
2024-10-08,12.47,50.52,Nasilava
2023-10-29,21.0,53.86,Dimitrov
2023-02-04,20.92,90.4,Jiudian
2024-09-29,2.27,,Szombathely
2023-03-26,35.03,86.39,Kuching
2023-08-23,25.07,4.55,Tukuyu
2023-02-04,59.16,50.94,Zumiao
2022-03-28,18.32,,Tewulike
2023-03-22,37.7,33.78,Pochinki
2023-09-06,39.29,57.43,Karangdalam
2023-04-01,29.29,81.44,Bromma
2022-08-18,14.19,29.03,Vila Real de Santo António
2024-02-23,49.89,6.05,Lambayong
2024-10-22,56.34,10.41,Lupo
2022-04-17,23.22,80.08,Tiguion
2024-11-08,37.5,,Agidel’
2024-10-21,54.73,92.74,Bodeh
2022-12-26,1.52,79.69,Choszczno
2022-06-13,17.74,,Zhongfang
2022-10-03,54.32,,Cortiçóis
2023-11-23,,80.62,Tsinandali
2023-11-22,59.12,70.35,Masaguisi
2022-03-04,21.47,96.46,Ko Samui
2022-12-26,3.54,76.51,Boronów
2024-01-31,25.45,,Pámfylla
2022-07-04,23.42,15.91,Entre Rios
2024-03-03,13.67,11.39,Huangtu
2023-07-06,8.46,98.56,Garunggang
2023-10-26,45.97,63.01,Paseka
2023-11-25,43.92,,Linjiang
2024-07-30,43.44,18.89,Zblewo
2022-03-25,7.06,37.44,Bagé
2022-08-29,16.19,40.6,Morondava
2022-05-28,34.54,,Kokas
2023-09-26,,96.55,Taoyao
2022-12-16,45.75,86.36,Säffle
2024-12-03,52.13,4.48,Beichan
2022-08-30,58.03,53.98,Banda Layung
2024-10-06,48.67,28.67,Lokorae
2024-01-27,26.92,41.28,Shuixi
2023-03-31,21.9,,Llusco
2023-04-25,12.12,67.92,Phanat Nikhom
2022-09-09,11.28,29.43,Foz Giraldo
2023-05-29,49.26,,Pipa
